name,coverage_2020,annual_change,projected_2030,region,2030_status
Greece,100.0000023,-4.599999982701774e-07,99.99999770000002,Europe & Central Asia,Universal Access
Andorra,100.0000037,1.2299999980314165e-06,100.0,Europe & Central Asia,Universal Access
Finland,100.0000033,1.328000001876717e-06,100.0,Europe & Central Asia,Universal Access
Switzerland,100.0000028,5.600000008598727e-07,100.0,Europe & Central Asia,Universal Access
Germany,100.0000023,-1.9999998812636478e-08,100.0,Europe & Central Asia,Universal Access
Iceland,99.99999721,-1.0180000003856548e-06,99.99998703,Europe & Central Asia,Universal Access
Greenland,100.0000017,3.3999999971001676e-07,100.0,North America,Universal Access
Israel,100.0,-2.9999999924257275e-07,99.99999700000001,Europe & Central Asia,Universal Access
United Kingdom,99.99999856,-5.880000003344319e-07,99.99999267999999,Europe & Central Asia,Universal Access
New Zealand,100.0000013,7.899999985738758e-07,100.0,East Asia & Pacific,Universal Access
Norway,99.9999955,-1.1400000005323817e-06,99.99998409999999,Europe & Central Asia,Universal Access
Denmark,100.0000011,6.500000012010787e-07,100.0,Europe & Central Asia,Universal Access
Malta,100.0000004,8.000000093488779e-08,100.0,Europe & Central Asia,Universal Access
Saint Barthelemy,100.0,0.007016146000000844,100.0,Latin America & Caribbean,Universal Access
Nauru,100.0,0.0,100.0,East Asia & Pacific,Universal Access
Tuvalu,100.0,0.0,100.0,East Asia & Pacific,Universal Access
San Marino,100.0,0.0,100.0,Europe & Central Asia,Universal Access
Gibraltar,100.0,0.0,100.0,Europe & Central Asia,Universal Access
Liechtenstein,100.0,0.0,100.0,Europe & Central Asia,Universal Access
Monaco,100.0,0.0,100.0,Europe & Central Asia,Universal Access
Faeroe Islands,100.0,0.0,100.0,Europe & Central Asia,Universal Access
Northern Mariana Islands,100.0,0.0039633220000013115,100.0,East Asia & Pacific,Universal Access
French Polynesia,100.0,0.0,100.0,East Asia & Pacific,Universal Access
"China, Macao SAR",100.0,0.0,100.0,East Asia & Pacific,Universal Access
Réunion,100.0,0.017693962000001305,100.0,Sub-Saharan Africa,Universal Access
Bahrain,100.0,0.0,100.0,Europe & Central Asia,Universal Access
Puerto Rico,100.0,0.11491004799999871,100.0,Latin America & Caribbean,Universal Access
Kuwait,100.0,0.0,100.0,Middle East & North Africa,Universal Access
Singapore,100.0,0.0,100.0,East Asia & Pacific,Universal Access
Turkmenistan,100.0,0.46821113800000086,100.0,Europe & Central Asia,Universal Access
"China, Hong Kong SAR",100.0,0.0,100.0,East Asia & Pacific,Universal Access
Austria,100.0,0.0,100.0,Europe & Central Asia,Universal Access
Romania,100.0,0.0,100.0,Europe & Central Asia,Universal Access
Saudi Arabia,100.0,0.09039472400000079,100.0,Europe & Central Asia,Universal Access
France,99.9999985,-2.9999999924257275e-07,99.99999550000001,Europe & Central Asia,Universal Access
Thailand,100.0,0.14816588399999941,100.0,East Asia & Pacific,Universal Access
Netherlands,99.99999929,1.4600000213249588e-07,100.0,Europe & Central Asia,Universal Access
Chile,99.99999872,0.09870119999999928,100.0,Latin America & Caribbean,Universal Access
Belgium,99.99999645,-2.499999993688106e-07,99.99999395,Europe & Central Asia,Universal Access
Hungary,99.99999747,0.005893702000000188,100.0,Europe & Central Asia,Universal Access
Saint Martin (French part),99.99927139,-0.00010056200000008175,99.99826577,Latin America & Caribbean,Universal Access
Cook Islands,99.97161022,0.0035878400000001415,100.0,East Asia & Pacific,Universal Access
United Arab Emirates,99.965596,-0.0011472939999976005,99.95412306000003,Europe & Central Asia,Universal Access
Armenia,99.97118069,0.08372279799999943,100.0,Europe & Central Asia,Universal Access
Australia,99.96981182,-3.877000000045427e-05,99.96942411999999,East Asia & Pacific,Universal Access
Poland,99.96659155,0.1469043340000013,100.0,Europe & Central Asia,Universal Access
Republic of Korea,99.93139665,0.09173004799999944,100.0,East Asia & Pacific,Universal Access
Spain,99.92561261,-0.00022156999999936033,99.92339691000001,Europe & Central Asia,Universal Access
Luxembourg,99.87993254,-0.00904762400000152,99.78945629999998,Europe & Central Asia,Universal Access
Italy,99.91703407,0.0,99.91703407,Europe & Central Asia,Universal Access
Portugal,99.91199367,0.0014607659999995803,99.92660133000001,Europe & Central Asia,Universal Access
Bermuda,99.90314002,0.0,99.90314002,North America,Universal Access
Brunei Darussalam,99.9000368,0.0780121280000003,100.0,East Asia & Pacific,Universal Access
Libya,99.8915238,0.521981728,100.0,Sub-Saharan Africa,Universal Access
United States of America,99.88352668,0.08727378400000135,100.0,North America,Universal Access
Czech Republic,99.88059167,9.979600000065147e-05,99.88158963000001,Europe & Central Asia,Universal Access
Mauritius,99.8662547,-4.5424000001048624e-05,99.86580045999999,Sub-Saharan Africa,Universal Access
British Virgin Islands,99.86438356,0.0,99.86438356,Latin America & Caribbean,Universal Access
Martinique,99.84197078,0.009188155999999023,99.93385233999999,Latin America & Caribbean,Universal Access
Sweden,99.82686763,0.009127319999998917,99.91814082999998,Europe & Central Asia,Universal Access
Costa Rica,99.81053693,0.08637002199999981,100.0,Latin America & Caribbean,Universal Access
Guadeloupe,99.80312604,0.038419582000000216,100.0,Latin America & Caribbean,Universal Access
Cyprus,99.76517318,-0.004668877999998244,99.71848440000002,Europe & Central Asia,Universal Access
Slovakia,99.78769858,0.0001018899999991163,99.78871747999997,Europe & Central Asia,Universal Access
American Samoa,99.77377166,0.030933701999998675,100.0,East Asia & Pacific,Universal Access
Estonia,99.59078178,-0.03210515799999882,99.2697302,Europe & Central Asia,Universal Access
Tokelau,99.70767665,0.05005612999999868,100.0,East Asia & Pacific,Universal Access
Guam,99.6952,0.0,99.6952,East Asia & Pacific,Universal Access
Qatar,99.56810194,-0.024679888,99.32130305999999,Europe & Central Asia,Universal Access
Mexico,99.67956828,0.3308249480000001,100.0,Latin America & Caribbean,Universal Access
Palau,99.6575455,0.0054789299999981715,99.71233479999998,East Asia & Pacific,Universal Access
Paraguay,99.59346633,0.5514503599999983,100.0,Latin America & Caribbean,Universal Access
Maldives,99.5444386,0.14603886200000032,100.0,South Asia,Universal Access
Slovenia,99.5,0.0,99.5,Europe & Central Asia,Universal Access
Curaçao,99.49775185,0.0,99.49775185,Latin America & Caribbean,Universal Access
Uruguay,99.49575756,0.07287200000000099,100.0,Latin America & Caribbean,Universal Access
Egypt,99.44017596,0.06669168399999988,100.0,Middle East & North Africa,Universal Access
Wallis and Futuna Islands,99.14328736,-0.03561883399999885,98.78709902000001,East Asia & Pacific,Very High Access
Brazil,99.32085299,0.3034570800000012,100.0,Latin America & Caribbean,Universal Access
New Caledonia,99.30532057,0.2333524160000024,100.0,East Asia & Pacific,Universal Access
Canada,99.22181066,-0.001482146000000739,99.2069892,North America,Universal Access
Bulgaria,99.01141694,-0.03698207399999944,98.64159620000001,Europe & Central Asia,Very High Access
Saint Helena,99.1,0.029999999999998292,99.39999999999998,Sub-Saharan Africa,Universal Access
Japan,99.07891245,0.031221394000002078,99.39112639000001,East Asia & Pacific,Universal Access
Isle of Man,99.075,0.0,99.075,Europe & Central Asia,Universal Access
